ch1 ,ch2
0.045544508,0.058808312
0.045599336,0.058828313
0.045603389,0.058888314
0.046094322,0.05911832
0.046164327,0.059288324
0.046204325,0.059418327
0.04640413,0.059468329
0.046669096,0.059866254
0.046769098,0.060153105
0.046973057,0.060432912
0.047029105,0.060482913
0.047578918,0.060812921
0.047628919,0.061032927
0.047678921,0.061534601
0.047718922,0.061592741
0.047836551,0.061822746
0.047959748,0.061912749
0.047988903,0.062212556
0.047989749,0.062562565
0.048709566,0.062922374
0.048719567,0.062936748
0.048809569,0.063042377
0.048819569,0.063112378
0.049319382,0.06359219
0.049329382,0.063632191
0.049499386,0.063792196
0.049519387,0.064022201
0.049560208,0.064183025
0.049740012,0.064328174
0.049760014,0.064602836
0.049830015,0.064622836
0.05003084,0.06518285
0.05005084,0.065392655
0.050120842,0.065412656
0.050201441,0.065462657
0.05085066,0.066172474
0.05086066,0.066443347
0.050880661,0.066510994
0.05124067,0.066511187
0.051771421,0.066948073
0.051796263,0.066988074
0.051832769,0.067038075
0.051926266,0.067148078
0.052556082,0.067368083
0.052646084,0.067499098
0.052788568,0.067518087
0.052816088,0.067565478
0.052906091,0.067777894
0.052915121,0.067777982
0.052926091,0.067797894
0.052965892,0.067827895
0.053214221,0.068477911
0.053225898,0.068487911
0.053245899,0.068497712
0.053343788,0.068587722
0.05392725,0.068839658
0.054055719,0.06924773
0.054065719,0.069317532
0.05408572,0.069557538
0.054196599,0.069815462
0.054206544,0.069957548
0.054336546,0.070027549
0.054346546,0.070507361
0.055086366,0.070787368
0.055106365,0.07085737
0.05512183,0.071017174
0.055156367,0.071137177
0.05567618,0.071627189
0.05570618,0.071976998
0.055856184,0.072217004
0.055896185,0.072227004
0.056611494,0.07242765
0.056706119,0.072591772
0.056760965,0.072991782
0.056790966,0.073211788
0.057031593,0.073361792
0.057041593,0.073451594
0.057071594,0.073781602
0.057201597,0.074171612
0.057911415,0.074351851
0.057921415,0.074411417
0.05814142,0.074631423
0.058178533,0.074813249
